fecha,ipc_variacion_mensual,ipc_acumulado,salario_total,privado_reg,privado_no_reg,publico,total_registrado,salario_real_total,salario_real_priv_reg,salario_real_publico,ipc_variacion_anual
2021-10-01,3.5,546.991612,458.07,485.29,395.51,454.12,473.64,83.74351451663577,88.71982482978184,83.02138278493382,52.10376060347357
2021-11-01,2.5,560.666402,476.11,507.0,412.7,466.54,491.89,84.91858943243759,90.42810451837991,83.21169207496048,51.07204908213554
2021-12-01,3.8,581.971725,488.33,514.34,436.8,479.05,501.16,83.90957481654284,88.37886411062324,82.31499562972755,50.78152579243693
2022-01-01,3.9,604.668623,506.68,538.17,447.94,493.03,521.3,83.79465722665752,89.00246838176022,81.5372224134739,50.63654379675495
2022-02-01,4.7,633.088048,522.56,559.01,457.61,504.7,538.72,82.54144137625545,88.29893436876256,79.72034878788298,52.235966673078195
2022-03-01,6.7,675.504947,561.16,589.31,483.35,565.82,580.53,83.07267067283223,87.23992364781303,83.76252498414345,54.99596984748154
2022-04-01,6.0,716.035244,589.01,622.29,517.48,580.87,606.82,82.25991736239172,86.90773327353143,81.1231018120108,57.82490688816375
2022-05-01,5.1,752.553041,625.63,665.66,534.17,619.44,648.39,83.1343394970083,88.4535658929056,82.31180611228173,60.57500196095735
2022-06-01,5.3,792.438353,655.94,699.36,558.71,647.9,680.14,82.77489315310815,88.25418372954495,81.76030318916176,63.84251656309987
2022-07-01,7.4,851.078791,692.32,737.01,575.31,695.34,721.44,81.34616998110579,86.59715267184939,81.70101374315648,70.84161424437441
2022-08-01,7.0,910.654306,737.46,797.04,606.44,724.84,770.07,80.98133343697164,87.52388197679043,79.59551667677505,78.34197768044791
2022-09-01,6.2,967.114873,787.08,843.4,654.74,780.81,820.02,81.38433416482057,87.2078409241877,80.73601407637538,82.9943772091049
2022-10-01,6.3,1028.04311,827.54,888.1,675.21,827.5,865.46,80.49662430985019,86.3874278579621,80.492733422434,87.94494969330535
2022-11-01,4.9,1078.417222,883.06,953.34,718.67,874.76,923.98,81.88481989951009,88.40177813851714,81.11517343702064,92.3456119633864
2022-12-01,5.1,1133.416501,929.56,996.62,722.55,955.04,981.09,82.0139815486946,87.93060619116574,84.26205187213876,94.75456492323573
2023-01-01,6.0,1201.421491,973.35,1042.37,771.21,992.3,1023.66,81.01652977672596,86.76139121936181,82.59382801401877,98.69089370625406
2023-02-01,6.6,1280.715309,1031.74,1114.31,825.87,1030.47,1082.99,80.55966792538747,87.00684626547242,80.46050459134474,102.29655464921996
2023-03-01,7.7,1379.330388,1136.04,1202.08,876.04,1198.55,1200.76,82.36170317738261,87.14953360398233,86.89361232285124,104.19249246445563
2023-04-01,8.4,1495.19414,1200.49,1284.57,918.51,1247.39,1270.68,80.28990803829662,85.9132580602543,83.4266244515913,108.8157185737634
2023-05-01,7.8,1611.819283,1290.46,1389.24,947.84,1353.08,1375.74,80.06232544867748,86.19080405926624,83.94737637594078,114.18015677116907
2023-06-01,6.0,1708.52844,1368.71,1468.48,1018.88,1434.49,1455.78,80.11046043810661,85.94998863466388,83.96055730860412,115.6039562613144
2023-07-01,6.3,1816.165732,1519.5,1626.81,1090.31,1625.51,1626.33,83.66527201934895,89.5738737570234,89.50229438642442,113.39572213590739
2023-08-01,12.4,2041.370283,1635.33,1762.46,1183.42,1723.25,1747.82,80.10942520416812,86.33710477110928,84.41633614199134,124.16522598642388
2023-09-01,12.7,2300.624309,1826.29,1995.58,1271.63,1911.97,1964.34,79.38236559770264,86.74080301565657,83.10657209525296,137.88531985486276
2023-10-01,8.3,2491.576126,1978.41,2169.81,1334.03,2086.82,2138.81,79.40395556671825,87.08584005753151,83.75501668296208,142.36105487833092
2023-11-01,12.8,2810.497871,2157.73,2385.55,1445.34,2250.34,2335.04,76.7739418081203,84.87997890392282,80.06908751719884,160.6132221987085
2023-12-01,25.5,3527.174828,2348.79,2648.87,1555.65,2374.02,2546.2,66.5912554533574,75.09891426340151,67.30655881171988,211.19847160227647
2024-01-01,20.6,4253.772842,2734.97,3178.28,1730.47,2660.85,2985.0,64.29515871172134,74.7167307247574,62.5527055353747,254.06165728393816
2024-02-01,13.2,4815.270857,3099.2,3625.42,1829.42,3062.83,3415.26,64.36190386870277,75.29005340851586,63.606598485473306,275.9829232274759
2024-03-01,11.0,5344.950652,3417.34,3987.49,2007.72,3400.49,3768.21,63.93585689554089,74.60293386446779,63.620606089741685,287.5032913434225
2024-04-01,8.8,5815.306309,3764.21,4464.6,2163.76,3656.07,4162.57,64.72935044151258,76.77325600356438,62.869775137067506,288.93319291633924
2024-05-01,4.2,6059.549174,4077.32,4807.34,2419.24,3957.89,4490.03,67.28751401993327,79.33494492671312,65.31657531524473,275.9447003712264
2024-06-01,4.6,6338.288436,4329.8,5129.04,2642.13,4113.99,4749.88,68.31181704208578,80.92153034355852,64.90695463831365,270.97939300325606
2024-07-01,4.0,6591.819973,4653.26,5450.78,3040.48,4390.43,5054.69,70.59143027357675,82.69006165711923,66.60421580053975,262.95255751472354
2024-08-01,4.2,6868.676412,4916.19,5725.38,3362.05,4594.73,5303.03,71.57405160928987,83.35492395590815,66.89396507269907,236.473812183931
2024-09-01,3.5,7109.080087,5147.61,5941.03,3710.18,4774.83,5505.4,72.40894654447855,83.56960292041228,67.16523012212902,209.00656222701858
2024-10-01,2.7,7301.025249,5383.96,6175.77,3994.36,4982.02,5729.85,73.74251993906506,84.58770911449562,68.2372657276096,193.02838363285875
2024-11-01,2.4,7476.249855,5591.0,6378.33,4319.74,5117.7,5907.43,74.78348247364721,85.31456443679811,68.45276842342771,166.01158222332631
2024-12-01,2.7,7678.108601,5765.54,6556.47,4615.04,5205.72,6051.9,75.09062842962516,85.39173305188837,67.79950988609363,117.68437844499155
2025-01-01,2.2,7847.02699,5934.47,6707.3,5010.83,5253.88,6164.38,75.62698595993997,85.4756840845274,66.95376486783309,84.47216815438965
2025-02-01,2.4,8035.355638,6161.52,6862.13,5408.11,5488.58,6349.04,76.68011569844596,85.39920706867412,68.30537747506727,66.87235000122442
2025-03-01,3.7,8332.663797,6344.81,7010.54,5684.22,5668.51,6509.23,76.1438377279102,84.13323963129291,68.02758563283003,55.89786210434031
2025-04-01,2.8,8565.978383,6559.31,7187.95,6121.0,5797.13,6668.41,76.5739733013753,83.91277304954646,67.67621561484391,47.30055353649989
2025-05-01,1.5,8694.468059,6755.22,7329.99,6461.52,5987.03,6828.33,77.69561006101338,84.3063652688036,68.86022191780415,43.48374457139113
2025-06-01,1.6,8833.579548,6956.46,7457.02,7036.25,6063.83,6936.6,78.75018232642739,84.41674136152807,68.64521870268213,39.36853201295367
2025-07-01,1.9,9001.417559,7129.22,7619.01,7287.87,6202.12,7089.73,79.20108086611206,84.64233494403545,68.90159199201749,36.554359734787624
2025-08-01,1.9,9172.444493,7354.44,7789.94,7727.8,6375.31,7261.51,80.17971660240167,84.92763304204166,69.50502676647814,33.5402040045907
2025-09-01,2.1,9365.065827,7518.03,7896.9,8170.41,6447.94,7355.64,80.27738553983363,84.32295240501998,68.8509842761621,31.733863065144007
2025-10-01,2.3,9580.462341,7705.88,8061.11,8516.86,6569.76,7504.02,80.43327895588457,84.14113758896721,68.5745610823439,31.220780839132246
2025-11-01,2.5,9819.9739,7843.14,8232.68,8660.37,6645.32,7639.72,79.86925504964937,83.83606803679997,67.67146295572128,31.348926138852274
2025-12-01,2.8,10094.933169,7969.6,8441.0,8672.31,6710.79,7794.68,78.94653552015012,83.61620486920135,66.47681453313443,31.476821878831363
2026-01-01,2.9,10387.686231,8171.66,8620.98,9050.9,6832.27,7952.81,78.66679661167751,82.9923026965561,65.77277988634695,32.377348061090316
2026-02-01,2.9,10688.929131,8370.04,8755.26,9469.49,6991.42,8096.38,78.3056927164503,81.9096084621613,65.4080489665097,33.02372181824769
